Contig ,MW_10,MW_9,MW_1,MW_2,MW_3,MW_5,MW_6,MW_7,MW_8,MD_11,MD_12,MD_13,MD_14,MD_15,MD_16,MD_17,MD_18,Log2FC(+We),DE/NDE(+We),DE/NDE(no We)
Ref_259_comp25555_c0_seq1,0.201,1.576,1.605,1.151,0.86,0.976,0.193,1.265,1.831,0.45,0.57,0.514,0.454,2.032,0.205,2.006,0.85,-0.6,NDE,NDE
Ref_259_comp25954_c0_seq1,1.676,1.683,1.311,1.037,0.551,1.284,0.714,1.614,0.731,1.112,2.232,1.094,1.02,2.455,1.139,1.369,1.873,0.276,NDE,NDE
Ref_259_comp26415_c0_seq1,0.72,1.426,1.236,1.008,0.773,0.817,1.359,0.585,0.428,0.597,0.589,0.817,0.419,1.571,0.493,0.86,0.865,-0.403,NDE,NDE
Ref_259_comp26888_c0_seq1,2.049,0.777,1.799,1.233,1.011,1.075,0.873,2.171,0.366,0.566,1.29,1.163,0.881,0.958,1.238,1.022,0.824,-0.38,NDE,NDE
Ref_259_comp26978_c0_seq1,1.425,1.533,1.555,0.804,1.255,1.137,0.61,0.552,1.408,1.52,0.61,1.625,1.641,2.999,1.341,1.142,3.584,0.471,NDE,NDE
Ref_259_comp27045_c0_seq1,1.829,1.398,1.543,0.688,0.883,0.787,1.144,0.948,1.277,1.088,1.474,1.067,1.474,1.06,1.724,1.239,1.16,-0.019,NDE,NDE
Ref_259_comp27592_c0_seq1,0.105,0.895,0.49,0,0,0,2.513,0,10.897,0,0,0,0,0,0,0,0.053,-8.112,NDE,NDE
Ref_259_comp27722_c0_seq1,1.954,2.18,1.326,1.062,1.607,1.109,0.868,1.059,0.775,1.485,1.893,1.387,1.75,1.675,1.384,0.812,1.201,0.001,NDE,NDE
Ref_259_comp27764_c0_seq1,1.148,0.48,1.237,0.864,0.472,0.244,1.529,0.933,1.536,1.428,0.73,0.977,0.925,0.805,0.569,0.298,1.154,-0.245,NDE,NDE
Ref_259_comp27841_c0_seq1,3.593,0.564,1.372,0.338,1.015,0.502,0.314,2.616,1.403,1.187,0.367,0.932,1.086,1.496,0.668,0.665,0.734,-0.595,NDE,NDE
Ref_259_comp27997_c0_seq1,0.334,0.559,1.36,0.712,0.595,0.427,0.89,2.112,0.646,0.416,0.425,0.569,0.359,0.703,0.568,0.486,1.064,-0.633,NDE,NDE
Ref_259_comp2867_c0_seq1,1.335,0.156,0.837,0.28,0.23,0.297,1.092,0.639,1.163,0.927,0.237,0.238,0.901,0.61,0.66,0.793,0.687,-0.172,NDE,NDE
Ref_259_comp28741_c0_seq1,1.143,0.365,1.419,0.508,0.684,0.498,0.498,0.676,0.603,0.84,1.076,0.332,0.502,0.656,0.839,0.777,0.836,0.018,NDE,NDE
Ref_259_comp28789_c0_seq1,1.342,0.511,1.197,0.557,0.647,0.798,0.518,3.009,1.487,1.382,0.605,0.768,0.895,1.233,0.433,0.981,1.536,-0.261,NDE,NDE
Ref_259_comp28822_c0_seq1,0.291,0.438,1.253,0.82,0.956,0.788,1.684,1.338,0.454,0.542,0.158,0.557,0.703,0.815,0.432,0.996,0.585,-0.646,NDE,NDE
Ref_259_comp2891_c0_seq1,41.677,51.908,46.827,28.292,36.681,38.081,46.847,47.253,43.753,51.995,41.158,47.724,42.765,41.494,38.782,44.048,46.978,-0.071,NDE,NDE
