windowID,windMzMid,windRtMid,15_neg,28_neg,2_neg,41_neg,54_neg
window000003073,351.1663,8.184,368308,369713,388821,314296,362613
window000003074,505.0991,8.191,818033,822406,762918,652776,953173
window000003082,243.1237,8.212,976587,1013325,1010221,883255,1069564
window000003083,663.2872,8.204,410233,470065,438968,366909,397440
window000003085,287.0563,8.234,1754619,1860598,1843335,1563361,1888251
window000003087,429.1769,8.239,13433199,13645891,13100620,11977400,14118705
window000003090,525.1949,8.271,823234,901129,847620,671466,876660
window000003094,435.1297,8.247,1400275,1470075,1374012,1317837,1438628
window000003095,621.2192,8.264,645833,602271,672636,539795,616178
window000003097,427.1975,8.243,518914,509194,431925,467702,502786
window000003098,482.0881,8.244,295722,324553,315001,305057,343234
window000003102,563.3077,8.262,536724,546142,515384,446904,499988
window000003103,497.1644,8.253,1223395,1199895,1108512,1025336,1196006
window000003107,481.1354,8.247,324424,291640,310573,278948,322787
window000003114,747.2838,8.284,821328,745283,746558,700407,774248
window000003121,475.2374,8.289,1157899,1131996,1296507,973098,1198170
window000003123,476.2411,8.29,324398,303456,361348,227185,314599
window000003124,267.0722,8.3,417921,507792,473435,367100,482213
window000003125,521.2608,8.289,533336,520263,639735,477308,600745
window000003134,593.2821,8.312,493915,500205,482166,471103,531594
window000003136,561.198,8.351,2566638,2455803,2627842,2309600,2392531
window000003146,605.188,8.351,558462,528568,526774,476120,568071
window000003148,403.1512,8.338,690588,995774,1420200,413660,784462
window000003149,465.198,8.347,1060942,1037460,1121087,968477,1107550
window000003152,193.05,8.368,1155678,1137386,874670,1142312,1673837
window000003155,675.2681,8.354,355528,267189,259903,254885,211583
window000003156,435.2237,8.371,980687,886424,934814,772006,889652
window000003157,371.1349,8.367,656002,569572,465921,611302,725579
window000003159,357.1343,8.374,347577,338465,413524,319324,342470
window000003160,493.2658,8.385,1105081,1096928,1109713,982949,1078742
window000003161,447.2601,8.379,494829,478781,485245,435281,464027
window000003165,457.2081,8.426,4881632,4535505,5165672,4299290,4582954
window000003166,221.0663,8.431,443001,376372,422951,333503,474633
window000003170,665.3032,8.436,1221502,1196879,1413058,1192870,1239372
window000003172,411.2025,8.426,3134308,3206943,3288994,2857944,3296333
window000003176,317.0668,8.412,331133,329661,280148,234350,315019
window000003177,523.1803,8.431,775590,847547,774079,705533,813633
window000003178,521.1302,8.437,1528213,1501723,1558214,1396246,1492386
window000003181,587.2338,8.451,2316492,2236488,2377094,2113078,2345311
window000003184,621.3133,8.426,248224,256211,304462,217260,242544
window000003187,629.2661,8.453,1066373,1105246,1053130,1024049,1129770
window000003189,463.2559,8.503,28009930,27504454,28006958,24267080,28110516
window000003192,679.2849,8.489,3960824,3733829,4171142,3265952,4128184
window000003196,453.2263,8.497,1647989,1997147,2043069,1872868,2375902
window000003197,531.2438,8.497,1138795,1176748,1114759,1016546,1270466
window000003198,405.2132,8.487,1581567,1523184,1471332,1390341,1571829
window000003199,433.1717,8.48,411683,446170,464157,369695,410162
window000003202,582.2793,8.501,1880480,1779412,1829475,1474951,1823960
window000003203,417.2315,8.507,1862652,1757781,2140851,1671622,1931444
window000003205,481.2487,8.495,254168,256774,245689,217045,265729
window000003206,403.1512,8.51,782706,1137455,1516597,516424,927616
window000003210,533.0905,8.54,174438,169351,172597,175139,200179
window000003215,677.2824,8.56,6471244,6706400,7086036,5725596,6831563
window000003217,509.1889,8.545,1366540,1102931,1284102,1083760,1159692
window000003219,245.1393,8.56,920552,908040,920823,763738,809377
window000003220,519.078,8.56,411969,462673,479081,440257,442705
window000003223,653.1366,8.571,458471,458007,516388,379069,488906
window000003227,545.1879,8.584,1333129,1308782,1444914,1171161,1344654
window000003228,483.2212,8.591,7457050,7562422,8334402,6600084,7639084
window000003230,475.0895,8.605,3870106,4153604,3920523,3905114,4775808
window000003231,499.1814,8.588,282057,266398,267691,230959,245243
window000003233,190.0503,8.603,901299,884856,912840,752209,874280
window000003234,523.1798,8.594,379119,381507,412048,363799,438852
window000003235,543.0757,8.607,222408,240648,230840,217397,264717
window000003245,345.1506,8.629,193495,226227,227142,175999,184982
window000003246,431.0983,8.663,1551521,1425828,1484871,1970642,1440574
window000003249,421.2089,8.684,57994320,48540868,54159936,58896948,58273688
window000003250,467.2142,8.714,426912384,405380864,414600896,458164032,464959456
