"""Compound_tpj""","""met_class""","""Ontology_msdial""","Matching.Attribute","Matching.Attribute.1","Matching.Attribute.2","Modules_comb","Modules_ind","name","selected","shared name"
"NA","""Unk""","""Unknown""","""X2757_199.1317_8.95_pos""","""X2757_199.1317_8.95_pos""","""X2757_199.1317_8.95_pos""","39","78","""X2757_199.1317_8.95_pos""","false","""X2757_199.1317_8.95_pos"""
"NA","""Unk""","""Phenanthridines and derivatives""","""X2724_386.1021_6.67_pos""","""X2724_386.1021_6.67_pos""","""X2724_386.1021_6.67_pos""","35","73","""X2724_386.1021_6.67_pos""","false","""X2724_386.1021_6.67_pos"""
"""Kaempferol-rha-glc-xyl""","""Flavonoid""","""Flavonoid-7-O-glycosides""","""X27_727.2082_6.68_pos""","""X27_727.2082_6.68_pos""","""X27_727.2082_6.68_pos""","26","74","""X27_727.2082_6.68_pos""","false","""X27_727.2082_6.68_pos"""
"NA","""Unk""","""Terpene glycosides""","""X2670_333.1899_5.35_pos""","""X2670_333.1899_5.35_pos""","""X2670_333.1899_5.35_pos""","35","99","""X2670_333.1899_5.35_pos""","false","""X2670_333.1899_5.35_pos"""
"NA","""Unk""","""null""","""X25351_415.2247_7.42_pos""","""X25351_415.2247_7.42_pos""","""X25351_415.2247_7.42_pos""","35","73","""X25351_415.2247_7.42_pos""","false","""X25351_415.2247_7.42_pos"""
"NA","""Unk""","""Unknown""","""X25022_314.0876_6.07_pos""","""X25022_314.0876_6.07_pos""","""X25022_314.0876_6.07_pos""","22","96","""X25022_314.0876_6.07_pos""","false","""X25022_314.0876_6.07_pos"""
"NA","""Flavonoid""","""Flavonoid-3-O-glycosides""","""X250_567.1336_7.02_pos""","""X250_567.1336_7.02_pos""","""X250_567.1336_7.02_pos""","20","74","""X250_567.1336_7.02_pos""","false","""X250_567.1336_7.02_pos"""
"NA","""Unk""","""Jasmonic acids""","""X25_227.1291_5.70_pos""","""X25_227.1291_5.70_pos""","""X25_227.1291_5.70_pos""","28","115","""X25_227.1291_5.70_pos""","false","""X25_227.1291_5.70_pos"""
"""Caffeoyl aspartic acid""","""Phenylpropanoid""","""Benzenesulfonamides""","""X2477_296.0753_4.65_pos""","""X2477_296.0753_4.65_pos""","""X2477_296.0753_4.65_pos""","22","96","""X2477_296.0753_4.65_pos""","false","""X2477_296.0753_4.65_pos"""
"NA","""Unk""","""Sesquiterpene lactones""","""X2461_369.1656_4.90_pos""","""X2461_369.1656_4.90_pos""","""X2461_369.1656_4.90_pos""","65","120","""X2461_369.1656_4.90_pos""","false","""X2461_369.1656_4.90_pos"""
